WavPath,Predicted,Actual
MIDI2WAV/random_notes_1.wav,A5 A5 A5 A5,<|MIDI|> G#6 F2 G#7 C8 C#3 <|/MIDI|>
MIDI2WAV/random_notes_2.wav,A5 A5 A5 A5,<|MIDI|> A#5 F6 D#7 A#6 B4 <|/MIDI|>
MIDI2WAV/random_notes_3.wav,A5 A5 A5 A5,<|MIDI|> C#5 A3 F2 G#5 F#4 <|/MIDI|>
MIDI2WAV/random_notes_4.wav,A5 A5 A5 A5,<|MIDI|> F#6 F#5 G2 D#2 C#2 <|/MIDI|>
MIDI2WAV/random_notes_5.wav,A5 A5 A5 A5,<|MIDI|> E2 F2 E7 F1 F#5 <|/MIDI|>
MIDI2WAV/random_notes_6.wav,A5 A5 A5 A5,<|MIDI|> D#5 C3 A#6 D5 B2 <|/MIDI|>
MIDI2WAV/random_notes_7.wav,A5 A5 A5 A5,<|MIDI|> F2 B0 C4 F#2 B2 <|/MIDI|>
MIDI2WAV/random_notes_8.wav,A5 A5 A5 A5,<|MIDI|> F5 A3 A0 C6 F#5 <|/MIDI|>
MIDI2WAV/random_notes_9.wav,A5 A5 A5 A5,<|MIDI|> D4 C2 E7 A#5 C#3 <|/MIDI|>
MIDI2WAV/random_notes_10.wav,A1 A1 A1 A2,<|MIDI|> D#2 G#1 F#4 D3 A0 <|/MIDI|>
MIDI2WAV/random_notes_11.wav,A5 A5 A5 A5,<|MIDI|> A7 G#4 C#5 A#4 A2 <|/MIDI|>
MIDI2WAV/random_notes_12.wav,A5 A5 A5 A5,<|MIDI|> D#3 C#7 G3 G#5 F1 <|/MIDI|>
MIDI2WAV/random_notes_13.wav,A5 A5 A5 A5,<|MIDI|> D2 F#3 G#2 A#3 C#3 <|/MIDI|>
MIDI2WAV/random_notes_14.wav,A5 A5 A5 A5,<|MIDI|> F7 A1 G#5 A#0 G#6 <|/MIDI|>
MIDI2WAV/random_notes_15.wav,A5 A5 A5 A5,<|MIDI|> D4 G#4 C1 A#0 F2 <|/MIDI|>
MIDI2WAV/random_notes_16.wav,A5 A5 A5 A5,<|MIDI|> B7 E7 G#6 B2 D#4 <|/MIDI|>
MIDI2WAV/random_notes_17.wav,A5 A5 A5 A5,<|MIDI|> F#2 B6 B5 B0 G#7 <|/MIDI|>
MIDI2WAV/random_notes_18.wav,A5 A5 A5 A5,<|MIDI|> B4 A1 C5 A#6 D7 <|/MIDI|>
MIDI2WAV/random_notes_19.wav,A1 A1 A1 A2,<|MIDI|> F3 A0 D#2 D#3 A1 <|/MIDI|>
MIDI2WAV/random_notes_20.wav,A5 A5 A5 A5,<|MIDI|> F#1 F#6 C4 C4 A#0 <|/MIDI|>
MIDI2WAV/random_notes_21.wav,A5 A5 A5 A5,<|MIDI|> D#4 A#7 B0 F#6 B4 <|/MIDI|>
MIDI2WAV/random_notes_22.wav,A5 A5 A5 A5,<|MIDI|> F6 C#2 G#5 D3 A#2 <|/MIDI|>
MIDI2WAV/random_notes_23.wav,A1 A1 A1 A2,<|MIDI|> A#1 C2 C8 G7 C#7 <|/MIDI|>
MIDI2WAV/random_notes_24.wav,A5 A5 A5 A5,<|MIDI|> A#4 D2 B0 G#6 G6 <|/MIDI|>
MIDI2WAV/random_notes_25.wav,A5 A5 A5 A5,<|MIDI|> C#5 D#5 F#7 F4 D6 <|/MIDI|>
MIDI2WAV/random_notes_26.wav,A5 A5 A5 A5,<|MIDI|> C#2 B1 G3 E6 G5 <|/MIDI|>
MIDI2WAV/random_notes_27.wav,A5 A5 A5 A5,<|MIDI|> D5 F7 G5 D2 D#7 <|/MIDI|>
MIDI2WAV/random_notes_28.wav,A5 A5 A5 A5,<|MIDI|> C8 D#6 F1 A7 C6 <|/MIDI|>
MIDI2WAV/random_notes_29.wav,A5 A5 A5 A5,<|MIDI|> F7 E4 B0 G#5 F#2 <|/MIDI|>
MIDI2WAV/random_notes_30.wav,A5 A5 A5 A5,<|MIDI|> F4 G7 A#0 D2 B5 <|/MIDI|>
MIDI2WAV/random_notes_31.wav,A5 A5 A5 A5,<|MIDI|> C3 D6 A#1 C1 F#6 <|/MIDI|>
MIDI2WAV/random_notes_32.wav,A5 A5 A5 A5,<|MIDI|> B1 D#3 D2 D5 F#4 <|/MIDI|>
MIDI2WAV/random_notes_33.wav,A5 A5 A5 A5,<|MIDI|> G#6 F5 E7 C1 D3 <|/MIDI|>
MIDI2WAV/random_notes_34.wav,A5 A5 A5 A5,<|MIDI|> A#3 A#6 D#2 A0 A0 <|/MIDI|>
MIDI2WAV/random_notes_35.wav,A5 A5 A5 A5,<|MIDI|> D#4 A#0 D3 G#6 C5 <|/MIDI|>
MIDI2WAV/random_notes_36.wav,D2 A5 D5 A5 A5,<|MIDI|> D4 D#5 C2 D2 D#5 <|/MIDI|>
MIDI2WAV/random_notes_37.wav,A5 A5 A5 A5,<|MIDI|> D#4 C1 A6 B3 A#2 <|/MIDI|>
