MidiPath,WavPath,Labels
MIDI/random_notes_1.mid,MIDI2WAV/random_notes_1.wav,<|MIDI|> G#6 F2 G#7 C8 C#3 <|/MIDI|>
MIDI/random_notes_2.mid,MIDI2WAV/random_notes_2.wav,<|MIDI|> A#5 F6 D#7 A#6 B4 <|/MIDI|>
MIDI/random_notes_3.mid,MIDI2WAV/random_notes_3.wav,<|MIDI|> C#5 A3 F2 G#5 F#4 <|/MIDI|>
MIDI/random_notes_4.mid,MIDI2WAV/random_notes_4.wav,<|MIDI|> F#6 F#5 G2 D#2 C#2 <|/MIDI|>
MIDI/random_notes_5.mid,MIDI2WAV/random_notes_5.wav,<|MIDI|> E2 F2 E7 F1 F#5 <|/MIDI|>
MIDI/random_notes_6.mid,MIDI2WAV/random_notes_6.wav,<|MIDI|> D#5 C3 A#6 D5 B2 <|/MIDI|>
MIDI/random_notes_7.mid,MIDI2WAV/random_notes_7.wav,<|MIDI|> F2 B0 C4 F#2 B2 <|/MIDI|>
MIDI/random_notes_8.mid,MIDI2WAV/random_notes_8.wav,<|MIDI|> F5 A3 A0 C6 F#5 <|/MIDI|>
MIDI/random_notes_9.mid,MIDI2WAV/random_notes_9.wav,<|MIDI|> D4 C2 E7 A#5 C#3 <|/MIDI|>
MIDI/random_notes_10.mid,MIDI2WAV/random_notes_10.wav,<|MIDI|> D#2 G#1 F#4 D3 A0 <|/MIDI|>
MIDI/random_notes_11.mid,MIDI2WAV/random_notes_11.wav,<|MIDI|> A7 G#4 C#5 A#4 A2 <|/MIDI|>
MIDI/random_notes_12.mid,MIDI2WAV/random_notes_12.wav,<|MIDI|> D#3 C#7 G3 G#5 F1 <|/MIDI|>
MIDI/random_notes_13.mid,MIDI2WAV/random_notes_13.wav,<|MIDI|> D2 F#3 G#2 A#3 C#3 <|/MIDI|>
MIDI/random_notes_14.mid,MIDI2WAV/random_notes_14.wav,<|MIDI|> F7 A1 G#5 A#0 G#6 <|/MIDI|>
