Path,Transcription,Actual,Previous,,,,,,,
Data/Memos/Dingley Place 19.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Marano Maddoca Desanocvildüsca,,,,,,,
Data/Memos/Dingley Place 25.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As more I don't mind to go the day's no go to go,,,,,,,
Data/Memos/Dingley Place 31.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As we're on the mordekudais, they call the car.",,,,,,,
Data/Memos/Dingley Place 6.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Miranda Mod спросar,,,,,,,
Data/Memos/Dingley Place 7.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, Requirements Location,,,,,,,
Data/Memos/Dingley Place 30.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morado, Martica, Dacin and Caldecaart.",,,,,,,
Data/Memos/Dingley Place 24.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As more on your market, I still do call the car.",,,,,,,
Data/Memos/Dingley Place 18.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Morano and Mariko are tasting at Kodaka.,,,,,,,
Data/Memos/Dingley Place 32.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, Has Morano Maudica diced in a cool car?,,,,,,,
Data/Memos/Dingley Place 5.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," i'm morano, hoje da chai nossa car",,,,,,,
Data/Memos/Dingley Place 26.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, Asmarano Maroka Desano Kozaka,,,,,,,
Data/Memos/Dingley Place 27.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, Osumarindo. It's no quarter.,,,,,,,
Data/Memos/Dingley Place 4.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morana, Morica, Desino, Kodaka.",,,,,,,
Data/Memos/Dingley Place 33.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Ask Morano Maldica Dice to call the car, okay?",,,,,,,
Data/Memos/Dingley Place 37.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, That's Morano Martica Dyson a cool car.,,,,,,,
Data/Memos/Dingley Place 23.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Mordekar, Deistiger, Kullkar.",,,,,,,
Data/Memos/Dingley Place 22.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Asmarana, Madhika, Distan, Kulika.",,,,,,,
Data/Memos/Dingley Place 36.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Morano Martica diced in a cool day car,,,,,,,
Data/Memos/Dingley Place 20.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As للóね I had Marano Marqu tremendous No,,,,,,,
Data/Memos/Dingley Place 34.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, Small Rano Maldica Dice in a cool car.,,,,,,,
Data/Memos/Dingley Place 3.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Mordico, a day's dinner called car.",,,,,,,
Data/Memos/Dingley Place 2.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, That's my regular my jog of death,,,,,,,
